'Elapsed time','ECG I','ECG I filtered'
'0:00.484',0.11000000,0.02000000
'0:00.486',0.10500000,0.02000000
'0:00.488',0.07500000,0.02500000
'0:00.490',0.08000000,0.03500000
'0:00.492',0.06500000,0.04000000
'0:00.494',0.07500000,0.04000000
'0:00.496',0.08000000,0.04500000
'0:00.498',0.09000000,0.04500000
'0:00.500',0.10000000,0.04000000
'0:00.502',0.11500000,0.03500000
'0:00.504',0.10500000,0.03000000
'0:00.506',0.09000000,0.02500000
'0:00.508',0.08500000,0.02500000
'0:00.510',0.09000000,0.03000000
'0:00.512',0.08500000,0.03000000
'0:00.514',0.09500000,0.03500000
'0:00.516',0.11000000,0.04500000
'0:00.518',0.13500000,0.05000000
'0:00.520',0.13000000,0.05500000
'0:00.522',0.13500000,0.06000000
'0:00.524',0.12500000,0.06000000
'0:00.526',0.12000000,0.06000000
'0:00.528',0.11000000,0.06500000
'0:00.530',0.10500000,0.06000000
'0:00.532',0.09500000,0.06000000
'0:00.534',0.11000000,0.06000000
'0:00.536',0.14000000,0.05500000
'0:00.538',0.13500000,0.05500000
'0:00.540',0.14000000,0.05000000
'0:00.542',0.14000000,0.04500000
'0:00.544',0.13000000,0.04500000
'0:00.546',0.12500000,0.04000000
'0:00.548',0.12000000,0.04500000
'0:00.550',0.10500000,0.05000000
'0:00.552',0.10000000,0.05500000
'0:00.554',0.12000000,0.06000000
'0:00.556',0.15000000,0.07000000
'0:00.558',0.16000000,0.07500000
'0:00.560',0.16000000,0.08000000
'0:00.562',0.17000000,0.08500000
'0:00.564',0.16000000,0.08000000
'0:00.566',0.12000000,0.07500000
'0:00.568',0.11500000,0.07000000
'0:00.570',0.11500000,0.06500000
'0:00.572',0.09500000,0.05500000
'0:00.574',0.09500000,0.05000000
'0:00.576',0.10000000,0.04500000
'0:00.578',0.09500000,0.04000000
'0:00.580',0.09000000,0.04000000
'0:00.582',0.09000000,0.03500000
'0:00.584',0.08500000,0.03000000
'0:00.586',0.05500000,0.02000000
'0:00.588',0.06500000,0.01500000
'0:00.590',0.06000000,0.01000000
'0:00.592',0.06500000,0.01000000
'0:00.594',0.07500000,0.00500000
'0:00.596',0.08000000,0.00500000
'0:00.598',0.08000000,0.01000000
'0:00.600',0.09500000,0.01500000
'0:00.602',0.07500000,0.01500000
'0:00.604',0.05500000,0.02000000
'0:00.606',0.05000000,0.02000000
'0:00.608',0.04500000,0.02000000
'0:00.610',0.03500000,0.02000000
'0:00.612',0.04500000,0.02000000
'0:00.614',0.04500000,0.01500000
'0:00.616',0.05500000,0.01500000
'0:00.618',0.06000000,0.01500000
'0:00.620',0.06000000,0.01000000
'0:00.622',0.06000000,0.01000000
'0:00.624',0.06000000,0.00500000
'0:00.626',0.05000000,0.00500000
'0:00.628',0.03500000,0.00000000
'0:00.630',0.02000000,-0.00500000
'0:00.632',0.02500000,-0.01000000
'0:00.634',0.03500000,-0.01000000
'0:00.636',0.04500000,-0.01000000
'0:00.638',0.05500000,-0.01000000
'0:00.640',0.06000000,-0.01000000
'0:00.642',0.05500000,-0.01000000
'0:00.644',0.03500000,-0.01000000
'0:00.646',0.02500000,-0.01000000
'0:00.648',0.03000000,-0.01500000
'0:00.650',0.02000000,-0.01500000
'0:00.652',0.03000000,-0.02000000
'0:00.654',0.05000000,-0.02500000
'0:00.656',0.03000000,-0.03000000
'0:00.658',0.04000000,-0.03000000
'0:00.660',0.05000000,-0.03000000
'0:00.662',0.04000000,-0.03000000
'0:00.664',0.02500000,-0.03000000
'0:00.666',0.00000000,-0.02500000
'0:00.668',-0.01000000,-0.02500000
'0:00.670',-0.02500000,-0.03000000
'0:00.672',-0.03000000,-0.03500000
'0:00.674',-0.02500000,-0.04000000
'0:00.676',-0.01500000,-0.04500000
'0:00.678',-0.00500000,-0.04500000
'0:00.680',0.03000000,-0.03500000
'0:00.682',0.06500000,-0.01500000
'0:00.684',0.11000000,0.02500000
'0:00.686',0.16000000,0.07500000
'0:00.688',0.20000000,0.14000000
'0:00.690',0.25500000,0.22000000
'0:00.692',0.33500000,0.30500000
'0:00.694',0.42500000,0.39000000
'0:00.696',0.53000000,0.47000000
'0:00.698',0.64500000,0.53500000
'0:00.700',0.72000000,0.59000000
'0:00.702',0.73500000,0.62000000
'0:00.704',0.68500000,0.62500000
'0:00.706',0.63000000,0.60000000
'0:00.708',0.57000000,0.55500000
'0:00.710',0.48500000,0.48500000
'0:00.712',0.41000000,0.39500000
'0:00.714',0.33500000,0.29500000
'0:00.716',0.23000000,0.19000000
'0:00.718',0.10000000,0.09000000
'0:00.720',0.01000000,0.00000000
'0:00.722',-0.06000000,-0.07000000
'0:00.724',-0.10000000,-0.12000000
'0:00.726',-0.10000000,-0.14500000
'0:00.728',-0.09000000,-0.15000000
'0:00.730',-0.08500000,-0.14000000
'0:00.732',-0.06000000,-0.11500000
'0:00.734',-0.02000000,-0.09000000
'0:00.736',0.01000000,-0.06000000
'0:00.738',0.03500000,-0.04000000
'0:00.740',0.04000000,-0.02500000
'0:00.742',0.03500000,-0.01500000
'0:00.744',0.01500000,-0.01500000
'0:00.746',-0.00500000,-0.02000000
'0:00.748',-0.02000000,-0.02500000
'0:00.750',-0.02500000,-0.03500000
'0:00.752',-0.01000000,-0.03500000
'0:00.754',0.00000000,-0.04000000
'0:00.756',0.00500000,-0.04000000
'0:00.758',0.02500000,-0.04000000
'0:00.760',0.02500000,-0.04000000
'0:00.762',0.02000000,-0.03500000
'0:00.764',0.00000000,-0.03500000
'0:00.766',0.00500000,-0.03500000
'0:00.768',-0.01500000,-0.04000000
'0:00.770',-0.02000000,-0.04000000
'0:00.772',-0.01000000,-0.04000000
'0:00.774',-0.01000000,-0.04500000
'0:00.776',0.00000000,-0.04500000
'0:00.778',0.01000000,-0.04500000
'0:00.780',0.00000000,-0.04500000
'0:00.782',0.00500000,-0.04500000
'0:00.784',0.00500000,-0.04500000
'0:00.786',-0.00500000,-0.04000000
'0:00.788',0.00000000,-0.04000000
'0:00.790',-0.01000000,-0.03500000
'0:00.792',0.00000000,-0.03000000
'0:00.794',0.01500000,-0.03000000
'0:00.796',0.02000000,-0.02500000
'0:00.798',0.02500000,-0.02500000
'0:00.800',0.04000000,-0.02500000
'0:00.802',0.02500000,-0.02500000
'0:00.804',0.01000000,-0.02500000
'0:00.806',0.00000000,-0.02500000
'0:00.808',-0.00500000,-0.02500000
'0:00.810',-0.00500000,-0.02500000
'0:00.812',0.00500000,-0.03000000
'0:00.814',0.02500000,-0.03000000
'0:00.816',0.02500000,-0.03000000
'0:00.818',0.03000000,-0.03000000
'0:00.820',0.02500000,-0.02500000
'0:00.822',0.01000000,-0.02500000
'0:00.824',0.02000000,-0.02000000
'0:00.826',0.00500000,-0.02000000
'0:00.828',0.01000000,-0.01500000
'0:00.830',0.00500000,-0.01000000
'0:00.832',0.01500000,-0.01000000
'0:00.834',0.02000000,-0.01000000
'0:00.836',0.03500000,-0.01000000
'0:00.838',0.04000000,-0.01000000
'0:00.840',0.05000000,-0.01000000
'0:00.842',0.05000000,-0.01000000
'0:00.844',0.04500000,-0.01000000
'0:00.846',0.04000000,-0.01000000
'0:00.848',0.02500000,-0.00500000
'0:00.850',0.03000000,0.00000000
'0:00.852',0.03000000,0.00500000
'0:00.854',0.04000000,0.01000000
'0:00.856',0.04500000,0.01500000
'0:00.858',0.05500000,0.02000000
'0:00.860',0.06000000,0.02500000
'0:00.862',0.06500000,0.02500000
'0:00.864',0.06500000,0.03000000
'0:00.866',0.07000000,0.03000000
'0:00.868',0.07000000,0.03500000
'0:00.870',0.06500000,0.04000000
'0:00.872',0.08000000,0.04500000
'0:00.874',0.09500000,0.05000000
'0:00.876',0.10500000,0.05500000
'0:00.878',0.10500000,0.06500000
'0:00.880',0.12000000,0.07000000
'0:00.882',0.11500000,0.07000000
'0:00.884',0.11500000,0.07500000
'0:00.886',0.11000000,0.07500000
'0:00.888',0.10000000,0.07500000
'0:00.890',0.10000000,0.07500000
'0:00.892',0.11500000,0.07500000
'0:00.894',0.13000000,0.08000000
'0:00.896',0.15000000,0.08500000
'0:00.898',0.15500000,0.09000000
'0:00.900',0.16000000,0.09500000
'0:00.902',0.15000000,0.10500000
'0:00.904',0.16000000,0.11500000
'0:00.906',0.16500000,0.12000000
'0:00.908',0.15500000,0.13000000
'0:00.910',0.16000000,0.13500000
'0:00.912',0.17500000,0.14000000
'0:00.914',0.20000000,0.14000000
'0:00.916',0.20500000,0.14500000
'0:00.918',0.21000000,0.14500000
'0:00.920',0.20500000,0.14500000
'0:00.922',0.19500000,0.14500000
'0:00.924',0.18500000,0.14500000
'0:00.926',0.18000000,0.15000000
'0:00.928',0.18000000,0.15000000
'0:00.930',0.18000000,0.15500000
'0:00.932',0.18000000,0.16000000
'0:00.934',0.20000000,0.16500000
'0:00.936',0.20500000,0.17000000
'0:00.938',0.20500000,0.17500000
'0:00.940',0.19500000,0.17500000
'0:00.942',0.17000000,0.17000000
'0:00.944',0.15000000,0.16500000
'0:00.946',0.13500000,0.15500000
'0:00.948',0.13000000,0.14000000
'0:00.950',0.12500000,0.13000000
'0:00.952',0.13000000,0.12000000
'0:00.954',0.11500000,0.11500000
'0:00.956',0.13000000,0.11000000
'0:00.958',0.13000000,0.10500000
'0:00.960',0.11500000,0.10000000
'0:00.962',0.09500000,0.09500000
'0:00.964',0.08000000,0.08500000
'0:00.966',0.07000000,0.07500000
'0:00.968',0.05500000,0.06000000
'0:00.970',0.03000000,0.04500000
'0:00.972',0.01500000,0.03000000
'0:00.974',0.02500000,0.01500000
'0:00.976',0.02500000,0.00500000
'0:00.978',0.02000000,-0.00500000
'0:00.980',0.01000000,-0.00500000
'0:00.982',-0.00500000,-0.00500000
'0:00.984',-0.02000000,-0.00500000
'0:00.986',-0.02500000,-0.00500000
'0:00.988',-0.03500000,-0.00500000
'0:00.990',-0.03000000,-0.01000000
'0:00.992',-0.01000000,-0.01500000
'0:00.994',0.00000000,-0.02500000
'0:00.996',-0.01000000,-0.03500000
'0:00.998',-0.00500000,-0.04000000
'0:01.000',-0.01000000,-0.04500000
'0:01.002',-0.03000000,-0.05000000
'0:01.004',-0.04000000,-0.05000000
'0:01.006',-0.05500000,-0.05000000
'0:01.008',-0.06500000,-0.04500000
'0:01.010',-0.05500000,-0.05000000
'0:01.012',-0.04000000,-0.05000000
'0:01.014',-0.04500000,-0.05500000
'0:01.016',-0.02500000,-0.06000000
'0:01.018',-0.03500000,-0.07000000
'0:01.020',-0.03000000,-0.07500000
'0:01.022',-0.05000000,-0.07500000
'0:01.024',-0.05500000,-0.08000000
'0:01.026',-0.06000000,-0.08000000
'0:01.028',-0.06000000,-0.07500000
'0:01.030',-0.04500000,-0.07000000
'0:01.032',-0.04500000,-0.06500000
'0:01.034',-0.03500000,-0.06000000
'0:01.036',-0.02000000,-0.06000000
'0:01.038',-0.03000000,-0.05500000
'0:01.040',-0.03000000,-0.05500000
'0:01.042',-0.05000000,-0.05500000
'0:01.044',-0.05500000,-0.05500000
'0:01.046',-0.05500000,-0.05500000
'0:01.048',-0.06000000,-0.05500000
'0:01.050',-0.05500000,-0.05500000
'0:01.052',-0.05000000,-0.05500000
'0:01.054',-0.04000000,-0.05500000
'0:01.056',-0.05500000,-0.06000000
'0:01.058',-0.03000000,-0.06000000
'0:01.060',-0.05500000,-0.06500000
'0:01.062',-0.05000000,-0.06500000
'0:01.064',-0.05000000,-0.06500000
'0:01.066',-0.06000000,-0.06500000
'0:01.068',-0.06000000,-0.06000000
'0:01.070',-0.04500000,-0.06000000
'0:01.072',-0.04000000,-0.05500000
'0:01.074',-0.04000000,-0.05500000
'0:01.076',-0.04000000,-0.05500000
'0:01.078',-0.04000000,-0.05000000
'0:01.080',-0.05000000,-0.05500000
'0:01.082',-0.05500000,-0.05500000
'0:01.084',-0.05500000,-0.05500000
'0:01.086',-0.06000000,-0.06000000
'0:01.088',-0.05500000,-0.06000000
'0:01.090',-0.03000000,-0.06000000
'0:01.092',-0.03000000,-0.06000000
'0:01.094',-0.02500000,-0.06000000
'0:01.096',-0.02000000,-0.06000000
'0:01.098',-0.01500000,-0.06500000
'0:01.100',-0.02500000,-0.06500000
'0:01.102',-0.03500000,-0.06500000
'0:01.104',-0.04500000,-0.07000000
'0:01.106',-0.05000000,-0.07000000
'0:01.108',-0.05500000,-0.07000000
'0:01.110',-0.04500000,-0.07000000
'0:01.112',-0.04000000,-0.06500000
'0:01.114',-0.02000000,-0.06500000
'0:01.116',-0.01500000,-0.06000000
'0:01.118',-0.01000000,-0.05500000
'0:01.120',-0.01500000,-0.05500000
'0:01.122',-0.02000000,-0.05000000
'0:01.124',-0.03000000,-0.05500000
'0:01.126',-0.03500000,-0.05500000
'0:01.128',-0.04000000,-0.05500000
'0:01.130',-0.03000000,-0.06000000
'0:01.132',-0.03000000,-0.06000000
'0:01.134',-0.02500000,-0.06000000
'0:01.136',-0.01500000,-0.06000000
'0:01.138',-0.01500000,-0.05500000
'0:01.140',-0.02500000,-0.05500000
'0:01.142',-0.02000000,-0.05000000
'0:01.144',-0.03500000,-0.04500000
'0:01.146',-0.04000000,-0.04000000
'0:01.148',-0.04500000,-0.04000000
'0:01.150',-0.04500000,-0.03500000
'0:01.152',-0.03000000,-0.03500000
'0:01.154',-0.02500000,-0.03500000
'0:01.156',-0.00500000,-0.03500000
'0:01.158',-0.01000000,-0.03500000
'0:01.160',-0.03000000,-0.03500000
'0:01.162',-0.03000000,-0.03500000
'0:01.164',-0.03500000,-0.03500000
'0:01.166',-0.05000000,-0.03500000
'0:01.168',-0.06000000,-0.03000000
'0:01.170',-0.04000000,-0.03000000
'0:01.172',-0.04000000,-0.03000000
'0:01.174',-0.03000000,-0.03500000
'0:01.176',-0.02000000,-0.03500000
'0:01.178',-0.02500000,-0.03500000
'0:01.180',-0.04000000,-0.04000000
'0:01.182',-0.04500000,-0.04500000
'0:01.184',-0.02000000,-0.04500000
'0:01.186',-0.05000000,-0.05000000
'0:01.188',-0.05500000,-0.05000000
'0:01.190',-0.04000000,-0.05000000
'0:01.192',-0.03000000,-0.05000000
'0:01.194',-0.03500000,-0.05000000
'0:01.196',-0.01500000,-0.05000000
'0:01.198',-0.02000000,-0.05000000
'0:01.200',-0.04000000,-0.05000000
'0:01.202',-0.05000000,-0.05000000
'0:01.204',-0.05500000,-0.05500000
'0:01.206',-0.06000000,-0.05500000
'0:01.208',-0.06000000,-0.06000000
'0:01.210',-0.05500000,-0.06000000
'0:01.212',-0.04000000,-0.06500000
'0:01.214',-0.04000000,-0.06500000
'0:01.216',-0.03500000,-0.06500000
'0:01.218',-0.02000000,-0.06000000
'0:01.220',-0.03500000,-0.06000000
'0:01.222',-0.04500000,-0.06000000
'0:01.224',-0.05000000,-0.06000000
'0:01.226',-0.07000000,-0.06000000
'0:01.228',-0.07000000,-0.06000000
'0:01.230',-0.05000000,-0.06000000
'0:01.232',-0.04500000,-0.06000000
'0:01.234',-0.03500000,-0.06000000
'0:01.236',-0.03500000,-0.06000000
'0:01.238',-0.03500000,-0.06000000
'0:01.240',-0.04500000,-0.06000000
'0:01.242',-0.05500000,-0.05500000
'0:01.244',-0.05000000,-0.05000000
'0:01.246',-0.05000000,-0.05000000
'0:01.248',-0.04000000,-0.04500000
'0:01.250',-0.03500000,-0.04500000
'0:01.252',-0.02500000,-0.04000000
'0:01.254',-0.00500000,-0.04000000
'0:01.256',-0.01000000,-0.04000000
'0:01.258',-0.02500000,-0.03500000
'0:01.260',-0.04000000,-0.03500000
'0:01.262',-0.03000000,-0.03000000
'0:01.264',-0.03500000,-0.03000000
'0:01.266',-0.04000000,-0.02500000
'0:01.268',-0.04000000,-0.02500000
'0:01.270',-0.02500000,-0.02000000
'0:01.272',-0.01500000,-0.02000000
'0:01.274',-0.01000000,-0.02000000
'0:01.276',0.01500000,-0.02000000
'0:01.278',-0.00500000,-0.02000000
'0:01.280',-0.00500000,-0.02000000
'0:01.282',-0.01500000,-0.02000000
'0:01.284',-0.02000000,-0.02500000
'0:01.286',-0.02500000,-0.02500000
'0:01.288',-0.02500000,-0.03000000
'0:01.290',-0.01000000,-0.03000000
'0:01.292',0.00500000,-0.03500000
'0:01.294',0.01500000,-0.03500000
'0:01.296',0.02000000,-0.03500000
'0:01.298',0.01500000,-0.03000000
'0:01.300',0.00500000,-0.03000000
'0:01.302',0.00500000,-0.02500000
'0:01.304',0.00000000,-0.01500000
'0:01.306',0.00000000,-0.01000000
'0:01.308',0.00000000,-0.00500000
'0:01.310',0.00000000,0.00000000
'0:01.312',0.00500000,0.00000000
'0:01.314',0.02000000,0.00000000
'0:01.316',0.03000000,0.00000000
'0:01.318',0.02000000,-0.00500000
'0:01.320',-0.01000000,-0.01000000
'0:01.322',-0.02500000,-0.01500000
'0:01.324',-0.03500000,-0.02000000
'0:01.326',-0.05500000,-0.02500000
'0:01.328',-0.05000000,-0.03000000
'0:01.330',-0.04500000,-0.03500000
'0:01.332',-0.04000000,-0.04000000
'0:01.334',-0.04500000,-0.04500000
'0:01.336',-0.02500000,-0.05500000
'0:01.338',-0.03500000,-0.06000000
'0:01.340',-0.06000000,-0.07000000
'0:01.342',-0.06000000,-0.07500000
'0:01.344',-0.07000000,-0.08000000
'0:01.346',-0.08000000,-0.08000000
'0:01.348',-0.06500000,-0.08000000
'0:01.350',-0.05500000,-0.08000000
'0:01.352',-0.05000000,-0.07500000
'0:01.354',-0.05000000,-0.07500000
'0:01.356',-0.03500000,-0.07500000
'0:01.358',-0.05500000,-0.07500000
'0:01.360',-0.05500000,-0.07500000
'0:01.362',-0.06000000,-0.07500000
'0:01.364',-0.06500000,-0.07500000
'0:01.366',-0.06500000,-0.07500000
'0:01.368',-0.06000000,-0.07500000
'0:01.370',-0.06500000,-0.07500000
'0:01.372',-0.06500000,-0.07500000
'0:01.374',-0.06500000,-0.07500000
'0:01.376',-0.06500000,-0.08000000
'0:01.378',-0.06500000,-0.08000000
'0:01.380',-0.08000000,-0.08500000
'0:01.382',-0.08500000,-0.09000000
'0:01.384',-0.08000000,-0.09500000
'0:01.386',-0.10000000,-0.09500000
'0:01.388',-0.09000000,-0.09500000
'0:01.390',-0.08000000,-0.09500000
'0:01.392',-0.06000000,-0.09000000
'0:01.394',-0.04500000,-0.08500000
'0:01.396',-0.04500000,-0.08500000
